"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Cognitive",0.62146383523941
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Auditory",0.531524121761322
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sense of Control",0.493666768074036
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Intrusive",0.383917361497879
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Quality of Life",0.174300372600555
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Emotional",0.00318586174398661
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Relaxation",0.00067145808134228
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sleep",0.000298170605674386
2,"How strong or loud was your tinnitus?","Intrusive","Intrusive",0.412631928920746
2,"How strong or loud was your tinnitus?","Intrusive","Auditory",0.187102466821671
2,"How strong or loud was your tinnitus?","Intrusive","Sense of Control",0.0621890388429165
2,"How strong or loud was your tinnitus?","Intrusive","Cognitive",0.0357630774378777
2,"How strong or loud was your tinnitus?","Intrusive","Quality of Life",0.0316670835018158
2,"How strong or loud was your tinnitus?","Intrusive","Emotional",0.0023114497307688
2,"How strong or loud was your tinnitus?","Intrusive","Sleep",0.000632337236311287
2,"How strong or loud was your tinnitus?","Intrusive","Relaxation",0.00034003978362307
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Intrusive",0.704099476337433
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Auditory",0.582291722297668
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Quality of Life",0.522052764892578
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sense of Control",0.456246376037598
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Cognitive",0.301739811897278
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Emotional",0.155512243509293
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sleep",0.00020186897017993
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Relaxation",0.000197029497940093
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Sense of Control",0.891856551170349
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Quality of Life",0.509643316268921
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Auditory",0.49338299036026
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Cognitive",0.370990723371506
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Intrusive",0.160548537969589
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Emotional",0.0206198245286942
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Relaxation",0.00236549880355597
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Sleep",0.000399606564315036
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Sense of Control",0.727901995182037
